BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459603.934080,1.00091,0.00185,1.3151,-0.85,-0.08,5.67,40125
2459603.934815,1.00147,0.00188,1.3148,-0.34,-0.07,5.76,37002
2459603.935550,0.99946,0.00190,1.3144,-0.03,0.09,6.74,28130
2459603.936284,1.00023,0.00187,1.3141,-0.92,-0.61,6.01,33794
2459603.937018,1.00463,0.00193,1.3139,-0.33,-0.59,7.07,22536
2459603.937748,1.00089,0.00189,1.3137,-0.06,0.42,5.75,35373
2459603.938483,0.99950,0.00188,1.3135,-0.69,-0.94,6.00,31783
2459603.939217,1.00220,0.00189,1.3133,-0.58,-0.32,6.35,29733
2459603.939951,1.00093,0.00188,1.3132,0.12,0.06,5.61,36884
2459603.940685,0.99997,0.00190,1.3131,0.08,0.66,6.27,29481
2459603.941419,0.99939,0.00191,1.3131,-0.10,0.28,6.52,26264
2459603.942152,1.00408,0.00188,1.3130,-0.25,0.25,5.94,35205
2459603.942887,1.00200,0.00188,1.3130,-0.66,-0.71,5.39,39880
2459603.943621,0.99919,0.00189,1.3131,0.37,0.95,6.36,29613
2459603.944355,0.99906,0.00187,1.3131,0.06,1.00,5.72,37551
2459603.945089,1.00000,0.00187,1.3132,0.12,1.38,5.61,38897
2459603.945822,0.99955,0.00189,1.3134,-0.05,1.17,6.28,32468
2459603.946556,0.99939,0.00191,1.3135,0.32,1.47,6.79,27116
2459603.947289,1.00256,0.00189,1.3137,-0.46,1.94,6.30,31721
2459603.948023,1.00604,0.00192,1.3139,-0.14,1.20,6.71,26688
2459603.948756,1.00197,0.00199,1.3142,0.49,-0.01,7.11,21338
2459603.949490,1.00311,0.00199,1.3145,-0.45,0.71,7.66,18920
2459603.950223,1.00080,0.00194,1.3148,-0.56,1.10,7.16,22790
2459603.950956,1.00326,0.00195,1.3152,0.23,0.73,7.13,23149
2459603.951689,1.00217,0.00196,1.3156,0.09,1.19,7.21,22180
2459603.952423,1.00234,0.00204,1.3160,-0.58,1.40,8.16,16289
2459603.953158,1.00152,0.00192,1.3165,-0.39,0.83,6.08,32336
2459603.953891,1.00239,0.00188,1.3170,-0.14,1.02,5.50,40146
2459603.954624,1.00255,0.00189,1.3175,-0.88,0.81,5.44,38692
